snapshot_at,game_date,game_id,home_team,away_team,home_ml,away_ml,point_spread
2026-04-09T16:54:24.448919,2026-04-09,2025021252,NYI,TOR,-205,170,1.5
2026-04-09T16:54:24.448937,2026-04-09,2025021247,BUF,CBJ,-130,110,1.5
2026-04-09T16:54:24.448943,2026-04-09,2025021248,MTL,TBL,-105,-115,1.5
2026-04-09T16:54:24.448947,2026-04-09,2025021249,OTT,FLA,-250,205,1.5
2026-04-09T16:54:24.448952,2026-04-09,2025021250,DET,PHI,-130,110,1.5
2026-04-09T16:54:24.448956,2026-04-09,2025021251,NJD,PIT,-108,-112,1.5
2026-04-09T16:54:24.448960,2026-04-09,2025021253,STL,WPG,-115,-105,1.5
2026-04-09T16:54:24.448964,2026-04-09,2025021255,CHI,CAR,190,-230,1.5
2026-04-09T16:54:24.448968,2026-04-09,2025021254,DAL,MIN,-125,105,1.5
2026-04-09T16:54:24.448972,2026-04-09,2025021256,COL,CGY,-340,270,1.5
2026-04-09T16:54:24.448976,2026-04-09,2025021257,UTA,NSH,-162,136,1.5
2026-04-09T16:54:24.448981,2026-04-09,2025021258,ANA,SJS,-170,142,1.5
2026-04-09T16:54:24.448988,2026-04-09,2025021259,SEA,VGK,160,-192,1.5
2026-04-09T16:54:24.448994,2026-04-09,2025021260,LAK,VAN,-270,220,1.5
2026-04-11T13:51:27.140368,2026-04-11,2025021261,BOS,TBL,105,-125,1.5
2026-04-11T13:51:27.140390,2026-04-11,2025021262,NYI,OTT,100,-120,1.5
2026-04-11T13:51:27.140400,2026-04-11,2025021263,PIT,WSH,-130,110,1.5
2026-04-11T13:51:27.140408,2026-04-11,2025021264,LAK,EDM,-115,-105,1.5
2026-04-11T13:51:27.140415,2026-04-11,2025021265,DET,NJD,-142,120,1.5
2026-04-11T13:51:27.140422,2026-04-11,2025021266,CHI,STL,110,-130,1.5
2026-04-11T13:51:27.140429,2026-04-11,2025021267,NSH,MIN,110,-130,1.5
2026-04-11T13:51:27.140438,2026-04-11,2025021268,DAL,NYR,-198,164,1.5
2026-04-11T13:51:27.140444,2026-04-11,2025021269,UTA,CAR,-115,-105,1.5
2026-04-11T13:51:27.140451,2026-04-11,2025021270,TOR,FLA,-130,110,1.5
2026-04-11T13:51:27.140458,2026-04-11,2025021271,MTL,CBJ,-142,120,1.5
2026-04-11T13:51:27.140464,2026-04-11,2025021272,WPG,PHI,-130,110,1.5
2026-04-11T13:51:27.140471,2026-04-11,2025021273,SEA,CGY,-155,130,1.5
2026-04-11T13:51:27.140477,2026-04-11,2025021274,COL,VGK,-135,114,1.5
2026-04-11T13:51:27.140482,2026-04-11,2025021275,SJS,VAN,-218,180,1.5
2026-04-12T15:18:12.822958,2026-04-12,2025021276,WSH,PIT,-155,130,1.5
2026-04-12T15:18:12.822972,2026-04-12,2025021277,NYI,MTL,-110,-110,1.5
2026-04-12T15:18:12.822976,2026-04-12,2025021278,CBJ,BOS,-135,114,1.5
2026-04-12T15:18:12.822980,2026-04-12,2025021279,NJD,OTT,120,-142,1.5
2026-04-12T15:18:12.822983,2026-04-12,2025021280,ANA,VAN,-305,245,1.5
2026-04-12T15:18:12.822986,2026-04-12,2025021281,CGY,UTA,142,-170,1.5
2026-04-12T18:05:22.753174,2026-04-12,2025021276,WSH,PIT,-155,130,1.5
2026-04-12T18:05:22.753191,2026-04-12,2025021277,NYI,MTL,-110,-110,1.5
2026-04-12T18:05:22.753199,2026-04-12,2025021278,CBJ,BOS,-135,114,1.5
2026-04-12T18:05:22.753207,2026-04-12,2025021279,NJD,OTT,120,-142,1.5
2026-04-12T18:05:22.753214,2026-04-12,2025021280,ANA,VAN,-305,245,1.5
2026-04-12T18:05:22.753228,2026-04-12,2025021281,CGY,UTA,142,-170,1.5
2026-04-13T14:57:28.511302,2026-04-13,2025021282,TBL,DET,-192,160,1.5
2026-04-13T14:57:28.511346,2026-04-13,2025021283,FLA,NYR,-110,-110,1.5
2026-04-13T14:57:28.511366,2026-04-13,2025021284,PHI,CAR,-105,-115,1.5
2026-04-13T14:57:28.511383,2026-04-13,2025021285,TOR,DAL,142,-170,1.5
2026-04-13T14:57:28.511398,2026-04-13,2025021286,STL,MIN,114,-135,1.5
2026-04-13T14:57:28.511413,2026-04-13,2025021287,NSH,SJS,-155,130,1.5
2026-04-13T14:57:28.511442,2026-04-13,2025021288,CHI,BUF,170,-205,1.5
2026-04-13T14:57:28.511463,2026-04-13,2025021289,EDM,COL,100,-120,1.5
2026-04-13T14:57:28.511478,2026-04-13,2025021291,SEA,LAK,124,-148,1.5
2026-04-13T14:57:28.511492,2026-04-13,2025021290,VGK,WPG,-185,154,1.5
2026-04-13T15:11:16.243554,2026-04-13,2025021282,TBL,DET,-192,160,1.5
2026-04-13T15:11:16.243575,2026-04-13,2025021283,FLA,NYR,-110,-110,1.5
2026-04-13T15:11:16.243585,2026-04-13,2025021284,PHI,CAR,-105,-115,1.5
2026-04-13T15:11:16.243592,2026-04-13,2025021285,TOR,DAL,142,-170,1.5
2026-04-13T15:11:16.243598,2026-04-13,2025021286,STL,MIN,114,-135,1.5
2026-04-13T15:11:16.243606,2026-04-13,2025021287,NSH,SJS,-155,130,1.5
2026-04-13T15:11:16.243620,2026-04-13,2025021288,CHI,BUF,170,-205,1.5
2026-04-13T15:11:16.243635,2026-04-13,2025021289,EDM,COL,100,-120,1.5
2026-04-13T15:11:16.243640,2026-04-13,2025021291,SEA,LAK,124,-148,1.5
2026-04-13T15:11:16.243646,2026-04-13,2025021290,VGK,WPG,-185,154,1.5
2026-04-13T15:21:19.143441,2026-04-13,2025021282,TBL,DET,-192,160,1.5
2026-04-13T15:21:19.143470,2026-04-13,2025021283,FLA,NYR,-110,-110,1.5
2026-04-13T15:21:19.143482,2026-04-13,2025021284,PHI,CAR,-105,-115,1.5
2026-04-13T15:21:19.143490,2026-04-13,2025021285,TOR,DAL,142,-170,1.5
2026-04-13T15:21:19.143498,2026-04-13,2025021286,STL,MIN,114,-135,1.5
2026-04-13T15:21:19.143513,2026-04-13,2025021287,NSH,SJS,-155,130,1.5
2026-04-13T15:21:19.143521,2026-04-13,2025021288,CHI,BUF,170,-205,1.5
2026-04-13T15:21:19.143529,2026-04-13,2025021289,EDM,COL,100,-120,1.5
2026-04-13T15:21:19.143537,2026-04-13,2025021291,SEA,LAK,124,-148,1.5
2026-04-13T15:21:19.143545,2026-04-13,2025021290,VGK,WPG,-185,154,1.5
2026-04-14T15:13:52.507196,2026-04-14,2025021292,BOS,NJD,-130,110,1.5
2026-04-14T15:13:52.507223,2026-04-14,2025021293,NYI,CAR,-110,-110,1.5
