Player,Birth,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Draft,Player-additional
Francesco Arcuri,ca CA,F,22,6-2,195,L/-,R,June 13 2003,2021 DAL 6th (175),arcurfr01
Oskar Back,se SE,F,25,6-4,202,L/-,1,March 12 2000,2018 DAL 3rd (75),backos01
Nathan Bastian,ca CA,F,28,6-4,205,R/-,6,December 6 1997,2016 NJD 2nd (41),bastina01
Jack Becker,us US,F,28,6-3,191,R/-,R,June 24 1997,2015 BOS 7th (195),beckeja01
Jamie Benn (C),ca CA,F,36,6-3,206,L/-,16,July 18 1989,2007 DAL 5th (129),bennja01
Tommy Bergsland,us US,D,24,6-3,195,R/-,R,March 23 2001,,-9999
Tristan Bertucci,ca CA,D,20,6-2,172,L/-,R,July 12 2005,2023 DAL 2nd (61),bertutr01
Antoine Bibeau,ca CA,G,31,6-3,205,-/L,2,May 1 1994,2013 TOR 6th (172),bibeaan01
Lian Bichsel,ch CH,D,21,6-7,231,L/-,1,May 18 2004,2022 DAL 1st (18),bichsli01
Colin Blackwell,us US,F,32,5-8,190,R/-,7,March 28 1993,2011 SJS 7th (194),blackco01
Mavrik Bourque,ca CA,F,24,5-11,181,R/-,2,January 8 2002,2020 DAL 1st (30),bourqma01
Kyle Capobianco,ca CA,D,28,6-3,198,L/-,7,August 13 1997,2015 ARI 3rd (63),capobky01
Sean Chisholm,ca CA,F,25,6-1,200,L/-,R,January 26 2001,,-9999
Anthony Cristoforo,ca CA,D,19,6-1,180,R/-,R,February 23 2006,,-9999
Casey DeSmith,us US,G,34,6-1,180,-/L,7,August 13 1991,,desmica01
Matt Duchene,ca CA,F,35,5-11,212,L/-,16,January 16 1991,2009 COL 1st (3),duchema01
Adam Erne,us US,F,30,6-1,212,L/-,8,April 20 1995,2013 TBL 2nd (33),ernead01
Justin Ertel,ca CA,F,22,6-2,187,L/-,R,May 27 2003,2021 DAL 3rd (79),ertelju01
Radek Faksa,cz CZ,F,32,6-3,215,L/-,10,January 9 1994,2012 DAL 1st (13),faksara01
