team_name,logo_url
Anaheim Ducks,"https://static.wixstatic.com/media/3d7fb3_7aa2d4cc0fae4c81b6d2c48821abeda8~mv2.png/v1/fill/w_936,h_846,al_c,q_90,enc_auto/3d7fb3_7aa2d4cc0fae4c81b6d2c48821abeda8~mv2.png"
Boston Bruins,"https://static.wixstatic.com/media/3d7fb3_f08c6d14ba664c94a04d55d8a15af472~mv2.png/v1/fill/w_936,h_846,al_c,q_90,enc_auto/3d7fb3_f08c6d14ba664c94a04d55d8a15af472~mv2.png"
Buffalo Sabres,"https://static.wixstatic.com/media/3d7fb3_20aa5d7fbd6440e397a6ec98940193e5~mv2.png/v1/fill/w_916,h_916,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/3d7fb3_20aa5d7fbd6440e397a6ec98940193e5~mv2.png"
Calgary Flames,"https://static.wixstatic.com/media/3d7fb3_b901b23a600f41fc88b0f42fd38deaf5~mv2.png/v1/fill/w_916,h_916,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/3d7fb3_b901b23a600f41fc88b0f42fd38deaf5~mv2.png"
Carolina Hurricanes,"https://static.wixstatic.com/media/3d7fb3_aff9216f99ff4cceb61caba45a2e8b9c~mv2.png/v1/fill/w_936,h_846,al_c,q_90,enc_auto/3d7fb3_aff9216f99ff4cceb61caba45a2e8b9c~mv2.png"
Chicago Blackhawks,"https://static.wixstatic.com/media/3d7fb3_040659cb7db94b39b8560276a35fc8e3~mv2.png/v1/fill/w_936,h_846,al_c,q_90,enc_auto/3d7fb3_040659cb7db94b39b8560276a35fc8e3~mv2.png"
Colorado Avalanche,"https://static.wixstatic.com/media/3d7fb3_3100c4beeab64400872ef2c43be9ffa3~mv2.png/v1/fill/w_936,h_846,al_c,q_90,enc_auto/3d7fb3_3100c4beeab64400872ef2c43be9ffa3~mv2.png"
Columbus Blue Jackets,"https://static.wixstatic.com/media/3d7fb3_546a74b41863469583ed937d08635e73~mv2.png/v1/fill/w_936,h_846,al_c,q_90,enc_auto/3d7fb3_546a74b41863469583ed937d08635e73~mv2.png"
Dallas Stars,"https://static.wixstatic.com/media/3d7fb3_dd8b454505b34a5d940a030cab1fe0cd~mv2.png/v1/fill/w_936,h_846,al_c,q_90,enc_auto/3d7fb3_dd8b454505b34a5d940a030cab1fe0cd~mv2.png"
Detroit Red Wings,"https://static.wixstatic.com/media/3d7fb3_df0dfc38cfe54c32a7d963b6d7180802~mv2.png/v1/fill/w_936,h_846,al_c,q_90,enc_auto/3d7fb3_df0dfc38cfe54c32a7d963b6d7180802~mv2.png"
Edmonton Oilers,"https://static.wixstatic.com/media/3d7fb3_934d2213949c49aca9d509aa4c68531a~mv2.png/v1/fill/w_936,h_846,al_c,q_90,enc_auto/3d7fb3_934d2213949c49aca9d509aa4c68531a~mv2.png"
Florida Panthers,"https://static.wixstatic.com/media/3d7fb3_5cf413a02d734d54a082b62ec8255b83~mv2.png/v1/fill/w_936,h_846,al_c,q_90,enc_auto/3d7fb3_5cf413a02d734d54a082b62ec8255b83~mv2.png"
