Date,Opponent,Home
10/8/2025,Washington Capitals,FALSE
10/9/2025,Chicago Blackhawks,TRUE
10/11/2025,Buffalo Sabres,TRUE
10/13/2025,Tampa Bay Lightning,TRUE
10/16/2025,Vegas Golden Knights,FALSE
10/18/2025,Colorado Avalanche,FALSE
10/19/2025,Utah Hockey Club,FALSE
10/21/2025,Florida Panthers,TRUE
10/23/2025,Anaheim Ducks,TRUE
10/25/2025,Colorado Avalanche,TRUE
10/27/2025,Ottawa Senators,FALSE
10/28/2025,New York Islanders,TRUE
10/30/2025,Buffalo Sabres,TRUE
11/1/2025,Carolina Hurricanes,TRUE
11/4/2025,New York Islanders,FALSE
11/6/2025,Ottawa Senators,TRUE
11/8/2025,Toronto Maple Leafs,FALSE
11/11/2025,Toronto Maple Leafs,TRUE
11/13/2025,Ottawa Senators,FALSE
11/15/2025,Montreal Canadiens,FALSE
11/17/2025,Carolina Hurricanes,TRUE
11/19/2025,Anaheim Ducks,FALSE
11/21/2025,Los Angeles Kings,FALSE
11/23/2025,San Jose Sharks,FALSE
11/26/2025,New York Islanders,FALSE
11/28/2025,New York Rangers,TRUE
11/29/2025,Detroit Red Wings,TRUE
12/2/2025,Detroit Red Wings,FALSE
12/4/2025,St. Louis Blues,TRUE
12/6/2025,New Jersey Devils,TRUE
12/9/2025,St. Louis Blues,FALSE
12/11/2025,Winnipeg Jets,FALSE
12/14/2025,Minnesota Wild,FALSE
12/16/2025,Utah Hockey Club,TRUE
12/18/2025,Edmonton Oilers,TRUE
12/20/2025,Vancouver Canucks,TRUE
12/21/2025,Ottawa Senators,TRUE
12/23/2025,Montreal Canadiens,TRUE
12/27/2025,Buffalo Sabres,FALSE
12/29/2025,Calgary Flames,FALSE
12/31/2025,Edmonton Oilers,FALSE
1/3/2026,Vancouver Canucks,FALSE
1/6/2026,Seattle Kraken,FALSE
1/8/2026,Calgary Flames,TRUE
1/10/2026,New York Rangers,TRUE
1/11/2026,Pittsburgh Penguins,TRUE
1/13/2026,Detroit Red Wings,TRUE
1/15/2026,Seattle Kraken,TRUE
1/17/2026,Chicago Blackhawks,FALSE
1/20/2026,Dallas Stars,FALSE
1/22/2026,Vegas Golden Knights,TRUE
1/24/2026,Montreal Canadiens,TRUE
1/26/2026,New York Rangers,FALSE
1/27/2026,Nashville Predators,TRUE
1/29/2026,Philadelphia Flyers,TRUE
2/1/2026,Tampa Bay Lightning,FALSE
2/4/2026,Florida Panthers,FALSE
2/26/2026,Columbus Blue Jackets,TRUE
2/28/2026,Philadelphia Flyers,FALSE
3/3/2026,Pittsburgh Penguins,TRUE
3/5/2026,Nashville Predators,FALSE
3/7/2026,Washington Capitals,TRUE
3/8/2026,Pittsburgh Penguins,FALSE
3/10/2026,Los Angeles Kings,TRUE
3/12/2026,San Jose Sharks,TRUE
3/14/2026,Washington Capitals,FALSE
3/16/2026,New Jersey Devils,FALSE
3/17/2026,Montreal Canadiens,FALSE
3/19/2026,Winnipeg Jets,TRUE
3/21/2026,Detroit Red Wings,FALSE
3/24/2026,Toronto Maple Leafs,TRUE
3/25/2026,Buffalo Sabres,FALSE
3/28/2026,Minnesota Wild,TRUE
3/29/2026,Columbus Blue Jackets,FALSE
3/31/2026,Dallas Stars,TRUE
4/2/2026,Florida Panthers,FALSE
4/4/2026,Tampa Bay Lightning,FALSE
4/5/2026,Philadelphia Flyers,FALSE
4/7/2026,Carolina Hurricanes,FALSE
4/11/2026,Tampa Bay Lightning,TRUE
4/12/2026,Columbus Blue Jackets,FALSE
4/14/2026,New Jersey Devils,TRUE
