Date,Visitor,Home
10/7/2025,Chicago Blackhawks,Florida Panthers
10/7/2025,Colorado Avalanche,Los Angeles Kings
10/7/2025,Pittsburgh Penguins,New York Rangers
10/8/2025,Calgary Flames,Edmonton Oilers
10/8/2025,Montreal Canadiens,Toronto Maple Leafs
10/8/2025,Los Angeles Kings,Vegas Golden Knights
10/8/2025,Boston Bruins,Washington Capitals
10/9/2025,Chicago Blackhawks,Boston Bruins
10/9/2025,New York Rangers,Buffalo Sabres
10/9/2025,New Jersey Devils,Carolina Hurricanes
10/9/2025,Utah Mammoth,Colorado Avalanche
10/9/2025,Montreal Canadiens,Detroit Red Wings
10/9/2025,Philadelphia Flyers,Florida Panthers
10/9/2025,Columbus Blue Jackets,Nashville Predators
10/9/2025,New York Islanders,Pittsburgh Penguins
10/9/2025,Anaheim Ducks,Seattle Kraken
10/9/2025,Vegas Golden Knights,San Jose Sharks
10/9/2025,Minnesota Wild,St. Louis Blues
10/9/2025,Ottawa Senators,Tampa Bay Lightning
10/9/2025,Calgary Flames,Vancouver Canucks
10/9/2025,Dallas Stars,Winnipeg Jets
10/11/2025,Buffalo Sabres,Boston Bruins
10/11/2025,Philadelphia Flyers,Carolina Hurricanes
10/11/2025,St. Louis Blues,Calgary Flames
10/11/2025,Montreal Canadiens,Chicago Blackhawks
10/11/2025,Dallas Stars,Colorado Avalanche
10/11/2025,Toronto Maple Leafs,Detroit Red Wings
10/11/2025,Vancouver Canucks,Edmonton Oilers
10/11/2025,Ottawa Senators,Florida Panthers
10/11/2025,Columbus Blue Jackets,Minnesota Wild
10/11/2025,Utah Mammoth,Nashville Predators
10/11/2025,Washington Capitals,New York Islanders
10/11/2025,New York Rangers,Pittsburgh Penguins
10/11/2025,Vegas Golden Knights,Seattle Kraken
10/11/2025,Anaheim Ducks,San Jose Sharks
10/11/2025,New Jersey Devils,Tampa Bay Lightning
10/11/2025,Los Angeles Kings,Winnipeg Jets
10/12/2025,Washington Capitals,New York Rangers
10/13/2025,Tampa Bay Lightning,Boston Bruins
10/13/2025,Colorado Avalanche,Buffalo Sabres
10/13/2025,New Jersey Devils,Columbus Blue Jackets
10/13/2025,Utah Mammoth,Chicago Blackhawks
10/13/2025,Los Angeles Kings,Minnesota Wild
10/13/2025,Winnipeg Jets,New York Islanders
10/13/2025,Nashville Predators,Ottawa Senators
10/13/2025,Florida Panthers,Philadelphia Flyers
10/13/2025,Detroit Red Wings,Toronto Maple Leafs
10/13/2025,St. Louis Blues,Vancouver Canucks
10/14/2025,Pittsburgh Penguins,Anaheim Ducks
10/14/2025,Vegas Golden Knights,Calgary Flames
10/14/2025,Minnesota Wild,Dallas Stars
10/14/2025,Seattle Kraken,Montreal Canadiens
10/14/2025,Edmonton Oilers,New York Rangers
10/14/2025,Carolina Hurricanes,San Jose Sharks
10/14/2025,Nashville Predators,Toronto Maple Leafs
10/14/2025,Tampa Bay Lightning,Washington Capitals
