Team,PP%,PK%
New York Rangers,26.42,84.48
Dallas Stars,24.17,82.01
Carolina Hurricanes,26.91,86.43
Winnipeg Jets,18.75,77.13
Florida Panthers,23.51,82.47
Boston Bruins,22.22,82.46
Vancouver Canucks,22.57,79.13
Colorado Avalanche,24.46,79.92
Edmonton Oilers,26.34,79.46
Toronto Maple Leafs,23.95,76.89
Nashville Predators,21.56,76.92
Los Angeles Kings,22.58,84.58
Tampa Bay Lightning,28.63,83.33
Vegas Golden Knights,20.24,79.34
New York Islanders,20.35,71.49
St. Louis Blues,18,78.6
Washington Capitals,20.61,78.97
Detroit Red Wings,23.08,79.58
Pittsburgh Penguins,15.27,80.66
Minnesota Wild,22.71,74.52
Philadelphia Flyers,12.2,83.4
Buffalo Sabres,16.59,79.84
New Jersey Devils,22.45,80.66
Seattle Kraken,20.66,78.83
Calgary Flames,17.86,80.82
Ottawa Senators,18.02,75.1
Arizona Coyotes,21.99,76.32
Montreal Canadiens,17.46,76.53
Columbus Blue Jackets,15.09,76.27
Anaheim Ducks,18.3,72.42
Chicago Blackhawks,16.6,75.76
San Jose Sharks,20.19,75.4
League Average,20.98,79.02
