game_date,home_team,away_team
9/20/2025,Dallas Stars,St. Louis Blues
9/21/2025,New Jersey Devils,New York Rangers
9/21/2025,Nashville Predators,Florida Panthers
9/21/2025,Ottawa Senators,Toronto Maple Leafs
9/21/2025,Arizona Coyotes,Colorado Avalanche
9/21/2025,Winnipeg Jets,Minnesota Wild
9/21/2025,Columbus Blue Jackets,St. Louis Blues
9/21/2025,Boston Bruins,Washington Capitals
9/21/2025,Los Angeles Kings,Anaheim Ducks
9/21/2025,Nashville Predators,Florida Panthers
9/21/2025,New York Islanders,Philadelphia Flyers
9/21/2025,San Jose Sharks,Vegas Golden Knights
9/21/2025,Calgary Flames,Edmonton Oilers
9/21/2025,Seattle Kraken,Vancouver Canucks
9/21/2025,Colorado Avalanche,Arizona Coyotes
9/22/2025,Columbus Blue Jackets,Buffalo Sabres
9/22/2025,Montreal Canadiens,Pittsburgh Penguins
9/22/2025,Carolina Hurricanes,Tampa Bay Lightning
9/22/2025,Anaheim Ducks,Arizona Coyotes
9/23/2025,New York Rangers,Boston Bruins
9/23/2025,Toronto Maple Leafs,Ottawa Senators
9/23/2025,Buffalo Sabres,Columbus Blue Jackets
9/23/2025,New Jersey Devils,New York Islanders
9/23/2025,Montreal Canadiens,Philadelphia Flyers
9/23/2025,Detroit Red Wings,Chicago Blackhawks
9/23/2025,Dallas Stars,Minnesota Wild
9/23/2025,Winnipeg Jets,Edmonton Oilers
9/23/2025,Tampa Bay Lightning,Nashville Predators
9/23/2025,Calgary Flames,Seattle Kraken
9/23/2025,Vegas Golden Knights,Los Angeles Kings
9/24/2025,Carolina Hurricanes,Florida Panthers
9/24/2025,Columbus Blue Jackets,Pittsburgh Penguins
9/24/2025,Edmonton Oilers,Seattle Kraken
9/24/2025,Vancouver Canucks,Calgary Flames
9/24/2025,Anaheim Ducks,Los Angeles Kings
9/25/2025,New York Rangers,New York Islanders
9/25/2025,Montreal Canadiens,Toronto Maple Leafs
9/25/2025,Washington Capitals,Philadelphia Flyers 
9/25/2025,Minnesota Wild,Dallas Stars
9/25/2025,Detroit Red Wings,Buffalo Sabres
9/25/2025,Vegas Golden Knights,Arizona Coyotes
9/26/2025,New York Islanders,New Jersey Devils
9/26/2025,Tampa Bay Lightning,Carolina Hurricanes
9/26/2025,Vancouver Canucks,Seattle Kraken
9/26/2025,Pittsburgh Penguins,Detroit Red Wings
9/26/2025,Edmonton Oilers,Winnipeg Jets
9/26/2025,San Jose Sharks,Vegas Golden Knights
9/27/2025,Buffalo Sabres,Detroit Red Wings
9/27/2025,Los Angeles Kings,Anaheim Ducks
9/27/2025,Tampa Bay Lightning,Nashville Predators
9/27/2025,Pittsburgh Penguins,Columbus Blue Jackets
9/27/2025,Winnipeg Jets,Calgary Flames
9/27/2025,Pittsburgh Penguins,Boston Bruins
9/27/2025,Toronto Maple Leafs,Montreal Canadiens
9/27/2025,Colorado Avalanche,Dallas Stars
9/27/2025,St. Louis Blues,Chicago Blackhawks
9/28/2025,New Jersey Devils,Washington Capitals
9/28/2025,Minnesota Wild,Chicago Blackhawks
9/28/2025,Carolina Hurricanes,Nashville Predators
9/28/2025,Edmonton Oilers,Vancouver Canucks
